Date,Open,High,Low,Close,Adj Close,Volume
27-03-2020,35.849998,36.849998,33.25,33.950001,32.485371,9984277
30-03-2020,33.950001,33.950001,32.049999,32.299999,30.906551,9090303
31-03-2020,32.799999,33.599998,32.450001,32.849998,31.432825,7034191
01-04-2020,32.299999,32.799999,31.35,31.549999,30.188906,5645202
03-04-2020,31.75,31.9,29.950001,30.15,28.849304,10639666
07-04-2020,31.799999,34.299999,30.799999,33.650002,32.198315,12216361
08-04-2020,33.650002,36.450001,32.950001,35.650002,34.11203,13337227
09-04-2020,36.299999,37,35.599998,36.5,34.925362,6744006
13-04-2020,36.650002,36.900002,35,35.900002,34.351246,4971715
15-04-2020,36.599998,37.5,34.549999,35.049999,33.537914,8241923
16-04-2020,35.049999,35.5,34.5,34.700001,33.203014,9452838
17-04-2020,35.599998,36.299999,34.049999,34.400002,32.915958,11813368
20-04-2020,34.650002,34.650002,33.200001,33.549999,32.102627,24632398
21-04-2020,32.900002,33.150002,32.150002,32.450001,31.050083,11655125
22-04-2020,32.400002,33.299999,31.700001,32.400002,31.002239,11600499
23-04-2020,32.599998,33.400002,32.400002,32.700001,31.289297,8034445
24-04-2020,32.599998,32.599998,30.799999,31.049999,29.710478,13995409
27-04-2020,31.5,32,30.75,31.049999,29.710478,10333713
28-04-2020,31.4,31.450001,30.5,30.700001,29.37558,10619659
29-04-2020,31.1,31.5,31,31.1,29.758322,14334699
30-04-2020,31.4,32.150002,31.049999,31.700001,30.332438,32595506
04-05-2020,31.5,31.5,30,30.1,28.801462,15845975
05-05-2020,30.85,31.5,30.35,30.5,29.184206,11702153
06-05-2020,30.75,30.75,28.85,29,27.748917,31848464
07-05-2020,29.1,29.450001,28.799999,29,27.748917,13470518
08-05-2020,29.799999,29.799999,27.65,28.5,27.270487,20376200
11-05-2020,29,29,27.15,27.299999,26.122255,36502236
12-05-2020,27.25,28.6,27,28.4,27.174801,27226330
13-05-2020,30,31,28.85,30.299999,28.992834,53613887
14-05-2020,31,33.200001,30.5,30.9,29.566948,69089712
15-05-2020,31,31.799999,29.75,31.4,30.04538,36969885
18-05-2020,31.950001,32.099998,30.25,31.299999,29.949692,33654540
19-05-2020,31.5,32.849998,30.6,32.450001,31.050083,37940322
20-05-2020,34.150002,34.599998,32.799999,33.25,31.815567,91642146
21-05-2020,33.650002,33.900002,32.549999,32.849998,31.432825,35022500
22-05-2020,32.5,34.099998,31.9,33.75,32.293995,40498597
26-05-2020,33.75,36,33.599998,35.75,34.207718,51052291
27-05-2020,36,36.450001,35.349998,35.75,34.207718,41541291
28-05-2020,35.950001,37.5,35.900002,36.900002,35.308109,45712056
29-05-2020,36.200001,37.150002,35.599998,36.549999,34.973202,149706283
01-06-2020,37.599998,40.049999,37.200001,39.450001,37.748096,64630249
02-06-2020,41.450001,42.950001,40.599998,42.549999,40.714355,75507939
03-06-2020,43.349998,43.75,41.099998,41.700001,39.901031,70317645
04-06-2020,41.099998,43.200001,40.299999,42.5,40.666519,81866339
05-06-2020,43.950001,44.349998,42.799999,43.900002,42.006119,55224827
08-06-2020,44.900002,44.900002,42.299999,42.650002,40.810047,42629869
09-06-2020,43,43.700001,42.200001,42.75,40.905731,34471524
10-06-2020,42.75,43.549999,42.5,42.799999,40.953575,19799619
11-06-2020,42.799999,42.799999,41,41.200001,39.4226,23571379
12-06-2020,38,42.150002,37.799999,41.700001,39.901031,43584191
15-06-2020,41.700001,43,41.549999,42.400002,40.570831,32174670
16-06-2020,43.450001,43.450001,40.200001,41.049999,39.279068,33914922
17-06-2020,40.900002,42.200001,40.150002,41.25,39.47044,30296333
18-06-2020,41.099998,43.349998,41.099998,42.950001,41.097103,29310661
19-06-2020,43.450001,43.950001,42.799999,43.200001,41.336319,28219723
22-06-2020,43.700001,43.900002,43,43.650002,41.766903,21166722
